datetime,timestamp,temperature,humidity,light,moisture,flame_detected,system_state
26/11/2025 8:52,1764121971,28.1,66,252,51.5,0,Normal
26/11/2025 8:57,1764122272,28.3,65,585,20.9,0,Normal
26/11/2025 9:07,1764122820,28.5,65,420,86,0,Normal
26/11/2025 9:12,1764123120,28.6,64,256,59.4,0,Normal
26/11/2025 9:17,1764123420,28.5,64,221,47,0,Normal
26/11/2025 9:24,1764123881,28.4,64,271,47,0,Normal
26/11/2025 9:29,1764124181,28.3,65,238,24.1,0,Normal
26/11/2025 9:34,1764124481,28.2,65,202,80.6,0,Normal
26/11/2025 9:39,1764124781,28.1,66,605,62.1,0,Normal
26/11/2025 9:44,1764125081,28,66,624,70.6,0,Normal
26/11/2025 9:49,1764125388,27.9,67,607,21.4,0,Normal
26/11/2025 9:54,1764125688,27.8,67,622,87.9,0,Normal
26/11/2025 9:59,1764125988,27.7,68,301,78.2,0,Normal
26/11/2025 10:04,1764126288,27.6,68,674,34.8,0,Normal
26/11/2025 10:09,1764126588,27.5,69,316,32.7,0,Normal
26/11/2025 10:14,1764126888,27.4,69,364,41.2,0,Normal
26/11/2025 10:19,1764127188,27.3,70,461,56.3,0,Normal
26/11/2025 10:24,1764127488,27.2,70,307,67,0,Normal
26/11/2025 10:29,1764127788,27.1,71,587,51,0,Normal
26/11/2025 10:34,1764128088,27,71,522,40.4,0,Normal
26/11/2025 10:39,1764128388,26.9,66,551,26.4,0,Normal
26/11/2025 10:44,1764128688,26.8,66,364,59.3,0,Normal
26/11/2025 10:49,1764128988,26.8,65,456,29.8,0,Normal
26/11/2025 10:54,1764129288,26.7,64,540,45.6,0,Normal
26/11/2025 10:59,1764129588,26.6,67,535,61,0,Normal
26/11/2025 11:04,1764129888,26.5,67,660,75.4,0,Normal
26/11/2025 11:09,1764130188,26.4,65,280,33.9,0,Normal
26/11/2025 11:14,1764130488,26.6,67,764,56.1,0,Normal
26/11/2025 11:19,1764130788,26.7,67,246,75,0,Normal
26/11/2025 11:24,1764131088,26.9,65,833,23.3,0,Normal
26/11/2025 11:29,1764131388,27,64,341,83.8,0,Normal
26/11/2025 11:34,1764131688,27.1,65,503,32.3,0,Normal
26/11/2025 11:39,1764131988,27.2,65,299,64.3,0,Normal
26/11/2025 11:44,1764132288,27.3,64,769,45.4,0,Normal
26/11/2025 11:49,1764132588,27.4,66,282,88.9,0,Normal
26/11/2025 11:54,1764132888,27.5,66,768,58.3,0,Normal
26/11/2025 11:59,1764133188,27.6,67,765,85.6,0,Normal
26/11/2025 12:04,1764133488,27.7,67,664,76.5,0,Normal
26/11/2025 12:09,1764133788,27.8,68,439,78.2,0,Normal
26/11/2025 12:14,1764134088,27.9,68,385,61.9,0,Normal
26/11/2025 12:19,1764134388,28,69,394,40.1,0,Normal
26/11/2025 12:24,1764134688,28.1,69,323,26.5,0,Normal
26/11/2025 12:29,1764134988,28.2,70,681,39.7,0,Normal
26/11/2025 12:34,1764135288,28.3,70,622,38.9,0,Normal
26/11/2025 12:39,1764135588,28.4,71,496,25.4,0,Normal
26/11/2025 12:44,1764135888,28.5,71,323,49.1,0,Normal
26/11/2025 12:49,1764136188,28.6,72,248,35.2,0,Normal
26/11/2025 12:54,1764136488,28.1,65.9,748,79.5,0,Normal
26/11/2025 12:59,1764136788,28.3,64.9,788,79.2,0,Normal
26/11/2025 13:04,1764137088,28.9,64.3,791,78.8,0,Normal
26/11/2025 13:09,1764137388,29.1,60.8,753,78.4,0,Normal
26/11/2025 13:14,1764137688,28.9,62.1,727,78.1,0,Normal
26/11/2025 13:19,1764137988,29.5,59.3,689,77.7,0,Normal
26/11/2025 13:24,1764138288,29.5,58.8,639,77.5,0,Normal
26/11/2025 13:29,1764138588,30.3,58.7,631,77.2,0,Normal
26/11/2025 13:34,1764138888,30.4,59.1,623,76.8,0,Normal
26/11/2025 13:39,1764139188,29.9,60.3,556,76.5,0,Normal
26/11/2025 13:44,1764139488,30.7,56.7,532,76.2,0,Normal
26/11/2025 13:49,1764139788,30.8,55.9,493,76,0,Normal
26/11/2025 13:54,1764140088,30.5,56.9,461,75.8,0,Normal
26/11/2025 13:59,1764140388,30.7,58.1,438,75.6,0,Normal
26/11/2025 14:04,1764140688,31.7,52.8,375,75.4,0,Normal
26/11/2025 14:09,1764140988,31,57.1,385,75.1,0,Normal
26/11/2025 14:14,1764141288,31.7,54.7,351,75,0,Normal
26/11/2025 14:19,1764141588,32.2,52.6,268,74.7,0,Normal
26/11/2025 14:24,1764141888,32,52.4,264,74.3,0,Normal
26/11/2025 14:29,1764142188,31.8,51.8,247,74.2,0,Normal
26/11/2025 14:34,1764142488,31.2,55.4,220,73.8,0,Normal
26/11/2025 14:39,1764142788,32,54.8,178,73.6,0,Normal
26/11/2025 14:44,1764143088,31.8,55.2,142,73.4,0,Normal
26/11/2025 14:49,1764143388,31.9,51.8,127,73.1,0,Normal
26/11/2025 14:54,1764143688,32.2,53.2,109,72.9,0,Normal
26/11/2025 14:59,1764143988,32.4,53.7,112,72.6,0,Normal
26/11/2025 15:04,1764144288,32.5,52.1,104,72.4,0,Normal
26/11/2025 15:09,1764144588,32.5,50.7,100,72.2,0,Normal
26/11/2025 15:14,1764144888,32.5,51.6,104,71.7,0,Normal
26/11/2025 15:19,1764145188,32.4,53.2,100,71.4,0,Normal
26/11/2025 15:24,1764145488,32.5,50.8,100,71.2,0,Normal
26/11/2025 15:29,1764145788,32.5,53,100,70.9,0,Normal
26/11/2025 15:34,1764146088,31.9,53.3,100,70.8,0,Normal
26/11/2025 15:39,1764146388,32,51.1,100,70.4,0,Normal
26/11/2025 15:44,1764146688,31.7,55.7,100,70.2,0,Normal
26/11/2025 15:49,1764146988,32.1,53.8,100,69.9,0,Normal
26/11/2025 15:54,1764147288,31.4,56.1,100,69.7,0,Normal
26/11/2025 15:59,1764147588,31.3,55.1,100,69.5,0,Normal
26/11/2025 16:04,1764147888,31.2,56.5,100,69.2,0,Normal
